"Date","Price","Open","High","Low","Vol.","Change %"
"02/07/2023","10,463.34","10,325.32","10,484.35","10,322.68","","1.34%"
"02/06/2023","10,325.32","10,335.31","10,414.11","10,292.03","","-0.10%"
"02/03/2023","10,335.31","10,343.77","10,371.74","10,332.95","","-0.08%"
"02/02/2023","10,343.77","10,212.03","10,343.77","10,206.98","","1.29%"
"02/01/2023","10,212.03","10,275.45","10,284.99","10,212.03","","-0.62%"
"01/31/2023","10,275.45","10,119.82","10,275.45","10,115.87","","1.54%"
"01/30/2023","10,119.82","10,070.12","10,149.31","10,046.23","","0.49%"
"01/27/2023","10,070.12","10,107.41","10,223.84","10,069.39","","-0.37%"
"01/26/2023","10,107.41","10,288.80","10,333.43","10,107.41","","-1.76%"
"01/25/2023","10,288.80","10,233.43","10,317.29","10,233.43","","0.54%"
"01/24/2023","10,233.43","10,291.49","10,313.71","10,233.43","","-0.56%"
"01/23/2023","10,291.49","10,212.84","10,300.58","10,150.00","","0.77%"
"01/20/2023","10,212.84","10,258.44","10,359.72","10,212.84","","-0.44%"
"01/19/2023","10,258.44","10,363.13","10,397.68","10,247.16","","-1.13%"
"01/18/2023","10,375.25","10,416.12","10,426.18","10,375.25","","-0.39%"
"01/17/2023","10,416.12","10,382.73","10,460.86","10,382.21","","0.32%"
"01/16/2023","10,382.73","10,324.62","10,446.85","10,324.62","","0.56%"
"01/13/2023","10,324.62","10,162.67","10,363.65","10,162.67","","1.59%"
"01/12/2023","10,162.67","9,982.54","10,214.45","9,982.54","","1.80%"
"01/10/2023","9,982.54","9,806.32","9,982.54","9,777.86","","1.80%"
"01/09/2023","9,806.32","9,717.99","9,945.92","9,717.99","","0.91%"
"01/06/2023","9,717.99","10,040.91","10,114.82","9,717.99","","-3.22%"
"01/05/2023","10,040.91","10,439.60","10,476.84","10,040.91","","-3.82%"
"01/04/2023","10,439.60","10,631.58","10,647.79","10,439.60","","-1.81%"
"01/03/2023","10,631.58","10,709.14","10,718.52","10,577.08","","-0.72%"
"01/02/2023","10,709.14","10,720.25","10,833.46","10,709.06","","-0.10%"
"12/30/2022","10,720.25","10,848.85","10,908.54","10,696.38","","-1.19%"
"12/29/2022","10,848.85","10,958.35","10,985.98","10,817.23","","-1.00%"
"12/28/2022","10,958.35","10,962.71","11,012.13","10,935.21","","-0.04%"
"12/27/2022","10,962.71","11,001.32","11,001.32","10,919.00","","-0.35%"
"12/26/2022","11,001.32","10,955.07","11,001.32","10,950.78","","0.42%"
"12/23/2022","10,955.07","10,968.04","11,014.28","10,955.07","","-0.12%"
"12/22/2022","10,968.04","10,950.62","11,022.17","10,950.62","","0.16%"
"12/21/2022","10,950.62","10,892.30","10,954.13","10,890.28","","0.47%"
"12/20/2022","10,899.12","11,065.16","11,088.38","10,895.61","","-1.50%"
"12/19/2022","11,065.16","11,049.59","11,073.12","11,023.30","","0.14%"
"12/16/2022","11,049.64","11,228.47","11,259.77","11,019.49","","-1.59%"
"12/15/2022","11,228.47","11,271.86","11,288.63","11,214.44","","-0.38%"
"12/14/2022","11,271.86","11,317.05","11,328.88","11,271.86","","-0.40%"
"12/13/2022","11,317.05","11,285.20","11,365.06","11,277.34","","0.28%"
"12/12/2022","11,285.68","11,257.38","11,300.54","11,239.81","","0.25%"
"12/09/2022","11,257.38","11,275.93","11,353.59","11,256.13","","-0.16%"
"12/08/2022","11,275.93","11,291.05","11,345.40","11,228.89","","-0.13%"
"12/07/2022","11,291.05","11,248.58","11,302.67","11,239.58","","0.38%"
"12/06/2022","11,248.58","11,194.26","11,299.10","11,194.20","","0.49%"
"12/05/2022","11,194.26","11,028.15","11,194.26","11,020.45","","1.51%"
"12/02/2022","11,028.15","11,022.18","11,078.62","10,970.09","","0.05%"
"12/01/2022","11,022.18","10,910.91","11,056.21","10,855.38","","1.02%"
"11/30/2022","10,910.91","10,918.63","10,921.24","10,814.62","","-0.07%"
"11/29/2022","10,918.63","10,870.17","10,920.19","10,815.34","","0.45%"
"11/28/2022","10,870.17","10,835.23","10,882.91","10,834.37","","0.32%"
"11/25/2022","10,835.23","10,805.97","10,859.18","10,789.56","","0.27%"
"11/24/2022","10,805.97","10,852.14","10,911.06","10,770.60","","-0.43%"
"11/23/2022","10,852.14","10,810.67","10,858.89","10,808.61","","0.38%"
"11/22/2022","10,810.67","10,783.87","10,857.94","10,783.87","","0.25%"
"11/21/2022","10,783.87","10,821.89","10,866.16","10,777.45","","-0.35%"
"11/17/2022","10,821.89","10,621.27","10,832.16","10,621.27","","1.89%"
"11/16/2022","10,621.27","10,581.12","10,695.14","10,581.12","","0.38%"
"11/15/2022","10,581.12","10,466.66","10,581.12","10,466.66","","1.09%"
"11/14/2022","10,466.66","10,355.27","10,530.38","10,355.27","","1.08%"
"11/11/2022","10,355.27","10,421.01","10,480.39","10,292.88","","-0.63%"
"11/10/2022","10,421.01","10,656.17","10,667.16","10,421.01","","-2.21%"
"11/09/2022","10,656.17","10,686.41","10,715.49","10,650.80","","-0.28%"
"11/08/2022","10,686.41","10,768.18","10,773.85","10,685.38","","-0.76%"
"11/07/2022","10,768.18","10,740.88","10,830.34","10,728.26","","0.25%"
"11/04/2022","10,740.88","10,811.04","10,831.75","10,740.88","","-0.65%"
"11/03/2022","10,811.04","10,861.39","10,896.41","10,811.04","","-0.46%"
"11/02/2022","10,861.39","10,912.36","10,960.51","10,861.36","","-0.47%"
"11/01/2022","10,912.36","10,822.58","10,914.20","10,819.46","","0.83%"
"10/31/2022","10,822.58","10,850.63","10,880.86","10,801.80","","-0.26%"
"10/28/2022","10,850.63","10,844.40","10,909.75","10,824.32","","0.06%"
"10/27/2022","10,844.40","10,741.26","10,857.68","10,715.72","","0.96%"
"10/26/2022","10,741.26","10,903.97","10,930.99","10,734.13","","-1.49%"
"10/25/2022","10,903.97","10,843.45","10,987.36","10,827.35","","0.56%"
"10/24/2022","10,843.45","10,954.52","11,004.47","10,841.81","","-1.01%"
"10/21/2022","10,954.52","11,066.31","11,066.31","10,944.89","","-1.01%"
"10/20/2022","11,066.31","11,310.82","11,329.85","11,055.17","","-2.16%"
"10/19/2022","11,310.82","11,323.89","11,337.04","11,271.15","","-0.12%"
"10/18/2022","11,323.89","11,359.71","11,359.71","11,295.30","","-0.32%"
"10/17/2022","11,359.71","11,442.19","11,442.19","11,313.23","","-0.72%"
"10/14/2022","11,442.19","11,556.43","11,580.78","11,442.19","","-0.99%"
"10/13/2022","11,556.43","11,661.28","11,688.28","11,528.80","","-0.90%"
"10/12/2022","11,661.28","11,782.08","11,782.26","11,661.28","","-1.03%"
"10/11/2022","11,782.08","11,724.44","11,782.10","11,714.73","","0.49%"
"10/07/2022","11,724.44","11,738.69","11,743.64","11,689.32","","-0.12%"
"10/06/2022","11,738.69","11,662.85","11,767.05","11,652.61","","0.65%"
"10/05/2022","11,662.85","11,617.87","11,681.19","11,616.45","","0.39%"
"10/04/2022","11,617.87","11,586.14","11,646.57","11,585.43","","0.27%"
"10/03/2022","11,586.14","11,613.11","11,632.44","11,581.81","","-0.23%"
"09/30/2022","11,613.11","11,684.05","11,737.85","11,548.23","","-0.61%"
"09/29/2022","11,684.05","11,809.94","11,853.57","11,666.85","","-1.07%"
"09/28/2022","11,809.94","12,044.51","12,044.51","11,807.86","","-1.95%"
"09/27/2022","12,044.51","12,191.83","12,214.31","12,044.51","","-1.21%"
"09/26/2022","12,191.83","12,259.05","12,267.30","12,164.26","","-0.55%"
"09/23/2022","12,259.05","12,250.74","12,262.69","12,219.20","","0.07%"
"09/22/2022","12,250.74","12,231.15","12,261.71","12,219.45","","0.16%"
"09/21/2022","12,231.15","12,212.00","12,235.10","12,165.17","","0.16%"
"09/20/2022","12,212.00","12,173.93","12,212.03","12,172.08","","0.31%"
"09/19/2022","12,174.71","12,198.68","12,206.75","12,172.58","","-0.20%"
"09/16/2022","12,198.68","12,138.03","12,198.68","12,138.03","","0.50%"
"09/15/2022","12,138.03","12,145.54","12,185.49","12,130.65","","-0.07%"
"09/14/2022","12,146.06","12,138.23","12,161.07","12,129.14","","-0.01%"
"09/13/2022","12,147.77","12,132.17","12,163.10","12,130.06","","0.12%"
"09/12/2022","12,132.92","12,128.37","12,159.67","12,108.72","","0.04%"
"09/09/2022","12,128.37","12,157.38","12,205.13","12,128.37","","-0.24%"
"09/08/2022","12,157.42","12,154.85","12,185.86","12,132.56","","0.02%"
"09/07/2022","12,154.85","12,109.70","12,173.99","12,109.70","","0.37%"
"09/06/2022","12,109.70","12,074.23","12,115.44","12,070.13","","-0.26%"
"09/05/2022","12,140.72","12,136.29","12,214.36","12,115.75","","0.04%"
"09/02/2022","12,136.29","12,127.17","12,185.69","12,105.82","","0.08%"
"09/01/2022","12,127.17","12,128.72","12,150.78","12,083.07","","-0.01%"
"08/31/2022","12,128.72","12,117.32","12,176.06","12,091.10","","0.09%"
"08/30/2022","12,117.32","12,169.05","12,184.07","12,117.32","","-0.43%"
"08/29/2022","12,169.05","12,177.18","12,194.35","12,157.73","","-0.07%"
"08/26/2022","12,177.18","12,201.61","12,231.82","12,151.82","","-0.20%"
"08/25/2022","12,201.61","12,187.17","12,205.67","12,142.19","","0.12%"
"08/24/2022","12,187.17","12,157.00","12,187.17","12,082.44","","0.25%"
"08/23/2022","12,157.00","12,132.26","12,193.64","12,127.16","","0.16%"
"08/22/2022","12,137.96","12,185.34","12,188.87","12,135.56","","-0.39%"
"08/19/2022","12,185.34","12,173.81","12,196.20","12,147.12","","0.09%"
"08/18/2022","12,173.81","12,174.09","12,207.55","12,161.04","","0.00%"
"08/17/2022","12,174.09","12,186.57","12,215.01","12,143.01","","-0.10%"
"08/16/2022","12,186.57","12,175.75","12,206.35","12,173.11","","0.09%"
"08/15/2022","12,175.75","12,162.75","12,195.89","12,116.77","","0.11%"
"08/12/2022","12,162.75","12,083.36","12,174.24","12,081.03","","0.66%"
"08/11/2022","12,083.36","11,988.81","12,094.81","11,976.98","","0.79%"
"08/10/2022","11,988.81","11,985.35","12,059.95","11,968.85","","0.03%"
"08/09/2022","11,985.35","11,945.83","11,985.35","11,930.92","","0.33%"
"08/08/2022","11,945.83","11,947.29","11,950.94","11,913.98","","-0.01%"
"08/05/2022","11,947.29","11,862.22","11,953.54","11,862.22","","0.72%"
"08/04/2022","11,862.22","11,831.21","11,871.62","11,816.99","","0.25%"
"08/03/2022","11,833.22","11,828.18","11,858.03","11,796.27","","0.04%"
"08/02/2022","11,828.18","11,854.28","11,854.28","11,819.32","","-0.22%"
"08/01/2022","11,854.28","11,818.46","11,867.47","11,805.81","","0.30%"
"07/29/2022","11,818.46","11,834.67","11,861.70","11,787.94","","-0.14%"
"07/28/2022","11,834.67","11,772.65","11,834.95","11,758.41","","0.51%"
"07/27/2022","11,774.58","11,810.03","11,887.06","11,772.57","","-0.30%"
"07/26/2022","11,810.03","11,835.57","11,840.87","11,772.33","","-0.22%"
"07/25/2022","11,835.58","11,923.99","11,944.48","11,809.44","","-0.74%"
"07/22/2022","11,923.99","11,938.12","11,967.69","11,923.00","","-0.16%"
"07/21/2022","11,943.04","11,944.22","11,986.39","11,939.63","","-0.01%"
"07/20/2022","11,944.22","11,935.98","12,072.68","11,933.34","","-0.11%"
"07/19/2022","11,956.96","11,865.04","11,957.96","11,858.87","","0.75%"
"07/18/2022","11,868.30","11,830.07","11,879.31","11,819.56","","0.31%"
"07/15/2022","11,831.42","11,741.78","11,834.60","11,741.78","","0.76%"
"07/14/2022","11,741.78","11,777.27","11,828.39","11,741.54","","-0.44%"
"07/13/2022","11,793.13","11,712.57","11,793.13","11,711.22","","0.44%"
"07/12/2022","11,740.99","11,701.65","11,803.11","11,701.65","","0.25%"
"07/08/2022","11,711.37","11,725.19","11,800.16","11,694.73","","-0.12%"
"07/07/2022","11,725.50","11,631.66","11,725.50","11,631.45","","0.81%"
"07/06/2022","11,631.66","11,546.31","11,651.11","11,518.12","","0.74%"
"07/05/2022","11,546.31","11,639.18","11,717.49","11,544.36","","-1.43%"
"07/04/2022","11,713.85","11,710.27","11,812.12","11,707.69","","-0.26%"
"07/01/2022","11,744.22","12,003.29","12,012.41","11,744.22","","-2.21%"
"06/30/2022","12,009.41","12,057.20","12,096.00","12,009.41","","-0.40%"
"06/29/2022","12,058.00","12,022.96","12,089.44","11,996.68","","0.29%"
"06/28/2022","12,022.96","11,978.70","12,048.71","11,977.53","","0.37%"
"06/27/2022","11,978.70","12,013.69","12,055.26","11,966.27","","-0.30%"
"06/24/2022","12,014.91","11,939.67","12,044.54","11,939.34","","0.57%"
"06/23/2022","11,946.97","12,020.98","12,026.48","11,930.64","","-0.65%"
"06/22/2022","12,025.51","12,159.05","12,198.75","12,024.91","","-1.12%"
"06/21/2022","12,161.36","12,126.78","12,167.44","12,109.79","","0.22%"
"06/20/2022","12,134.22","12,082.59","12,177.53","12,082.59","","0.42%"
"06/17/2022","12,083.57","12,258.10","12,258.10","12,083.57","","-1.42%"
"06/16/2022","12,258.10","12,357.96","12,366.10","12,252.92","","-0.82%"
"06/15/2022","12,358.98","12,262.57","12,359.26","12,244.09","","0.77%"
"06/14/2022","12,264.62","12,490.67","12,490.67","12,264.22","","-1.81%"
"06/13/2022","12,490.67","12,564.76","12,613.70","12,479.50","","-0.59%"
"06/10/2022","12,564.76","12,611.85","12,611.85","12,531.87","","-0.37%"
"06/09/2022","12,611.85","12,661.55","12,706.81","12,611.85","","-0.48%"
"06/08/2022","12,672.32","12,716.87","12,728.19","12,648.82","","-0.35%"
"06/07/2022","12,716.87","12,662.66","12,716.87","12,588.67","","0.41%"
"06/06/2022","12,665.15","12,595.67","12,668.16","12,580.81","","0.44%"
"06/03/2022","12,609.89","12,534.97","12,609.89","12,504.06","","0.60%"
"06/02/2022","12,534.97","12,392.50","12,552.93","12,385.81","","1.15%"
"06/01/2022","12,392.78","12,303.94","12,492.43","12,298.49","","0.43%"
"05/31/2022","12,339.60","12,321.15","12,364.38","12,314.54","","0.15%"
"05/30/2022","12,321.15","12,334.93","12,379.51","12,311.84","","-0.11%"
"05/27/2022","12,334.93","12,407.88","12,430.36","12,306.00","","-0.62%"
"05/26/2022","12,411.50","12,394.39","12,439.64","12,388.99","","0.14%"
"05/25/2022","12,394.39","12,421.60","12,480.62","12,375.27","","-0.22%"
"05/24/2022","12,421.60","12,564.55","12,607.54","12,413.70","","-1.14%"
"05/23/2022","12,564.55","12,626.59","12,660.52","12,526.15","","-0.49%"
"05/20/2022","12,626.59","12,679.79","12,691.63","12,625.57","","-0.42%"
"05/19/2022","12,680.13","12,679.08","12,738.77","12,679.08","","0.00%"
"05/18/2022","12,679.96","12,716.65","12,749.42","12,672.62","","-0.29%"
"05/17/2022","12,716.65","12,682.77","12,733.07","12,681.66","","0.27%"
"05/16/2022","12,682.77","12,682.21","12,738.15","12,648.59","","0.00%"
"05/13/2022","12,682.21","12,572.39","12,683.16","12,568.50","","0.87%"
"05/12/2022","12,572.39","12,649.89","12,660.58","12,569.39","","-0.61%"
"05/11/2022","12,649.89","12,666.75","12,741.08","12,646.91","","-0.13%"
"05/10/2022","12,666.75","12,984.18","13,021.64","12,666.75","","-2.44%"
"05/09/2022","12,984.18","13,051.01","13,060.85","12,984.18","","-0.51%"
"05/06/2022","13,051.01","13,114.95","13,118.70","13,046.44","","-0.54%"
"05/05/2022","13,121.65","13,134.60","13,153.35","13,116.80","","-0.17%"
"05/04/2022","13,143.89","13,136.65","13,173.92","13,128.90","","0.06%"
"04/29/2022","13,136.65","13,134.64","13,157.25","13,101.97","","0.02%"
"04/28/2022","13,134.64","13,083.67","13,147.87","13,072.42","","0.39%"
"04/27/2022","13,083.67","13,106.89","13,127.40","13,065.96","","-0.18%"
"04/26/2022","13,106.89","13,167.39","13,167.39","13,098.20","","-0.46%"
"04/25/2022","13,167.39","13,169.67","13,183.37","13,130.45","","-0.02%"
"04/22/2022","13,169.67","13,096.87","13,169.67","13,096.87","","0.56%"
"04/21/2022","13,096.87","13,063.73","13,115.11","13,050.11","","0.25%"
"04/20/2022","13,063.73","13,052.07","13,084.59","13,027.26","","0.09%"
"04/19/2022","13,052.07","13,038.44","13,052.07","13,000.49","","0.10%"
"04/18/2022","13,038.92","12,999.31","13,046.29","12,990.96","","0.30%"
"04/15/2022","12,999.31","12,971.89","12,999.31","12,948.57","","0.21%"
"04/14/2022","12,971.89","12,971.89","12,979.35","12,952.66","","0.00%"
"04/13/2022","12,971.89","12,972.98","12,991.92","12,955.78","","-0.01%"
"04/12/2022","12,972.98","12,943.08","12,992.54","12,932.08","","0.23%"
"04/11/2022","12,943.08","12,946.49","12,968.33","12,923.04","","-0.03%"
"04/08/2022","12,946.49","12,926.36","12,953.94","12,888.51","","0.16%"
"04/07/2022","12,926.36","12,893.80","12,932.92","12,835.18","","0.25%"
"04/06/2022","12,893.80","12,878.42","12,901.54","12,845.09","","0.12%"
"04/05/2022","12,878.42","12,824.29","12,878.42","12,817.14","","0.42%"
"04/04/2022","12,824.29","12,843.52","12,899.89","12,803.95","","-0.15%"
"04/01/2022","12,843.52","12,818.11","12,860.88","12,814.59","","0.20%"
"03/31/2022","12,818.11","12,751.45","12,828.09","12,742.35","","0.52%"
"03/30/2022","12,751.45","12,721.38","12,782.51","12,703.18","","0.24%"
"03/29/2022","12,721.38","12,640.22","12,721.38","12,625.64","","0.64%"
"03/28/2022","12,640.22","12,602.92","12,640.22","12,590.87","","0.30%"
"03/25/2022","12,602.92","12,558.71","12,739.57","12,558.71","","0.35%"
"03/24/2022","12,558.71","12,577.91","12,630.33","12,554.68","","-0.15%"
"03/23/2022","12,577.91","12,820.10","12,820.10","12,573.49","","-1.89%"
"03/22/2022","12,820.10","12,867.90","12,930.43","12,820.10","","-0.37%"
"03/21/2022","12,867.90","12,877.80","12,929.61","12,867.82","","-0.08%"
"03/18/2022","12,877.80","12,935.51","12,983.44","12,865.86","","-0.45%"
"03/17/2022","12,935.51","12,761.96","12,935.51","12,761.96","","1.36%"
"03/16/2022","12,761.96","12,704.72","12,763.96","12,702.75","","0.45%"
"03/15/2022","12,704.72","12,659.18","12,747.35","12,635.65","","0.36%"
"03/14/2022","12,659.18","12,623.94","12,686.42","12,623.29","","0.28%"
"03/11/2022","12,623.94","12,567.54","12,724.54","12,559.00","","0.45%"
"03/10/2022","12,567.54","12,866.13","12,944.08","12,567.54","","-2.32%"
"03/09/2022","12,866.13","12,671.53","12,884.55","12,671.53","","1.54%"
"03/08/2022","12,671.53","12,415.46","12,683.25","12,397.36","","2.06%"
"03/07/2022","12,415.46","12,785.57","12,785.63","12,353.78","","-2.89%"
"03/04/2022","12,785.57","12,864.57","12,887.33","12,734.13","","-0.61%"
"03/03/2022","12,864.57","12,972.82","12,981.20","12,856.51","","-0.83%"
"03/02/2022","12,972.82","13,059.66","13,062.95","12,960.54","","-0.67%"
"03/01/2022","13,059.66","13,071.04","13,186.82","13,059.07","","-0.09%"
"02/28/2022","13,071.04","13,175.30","13,244.94","13,071.04","","-0.79%"
"02/25/2022","13,175.30","12,954.68","13,292.32","12,899.88","","1.70%"
"02/24/2022","12,954.68","13,509.67","13,509.67","12,946.89","","-4.11%"
"02/23/2022","13,509.67","13,521.35","13,562.09","13,495.32","","-0.09%"
"02/22/2022","13,521.35","13,649.81","13,649.81","13,461.96","","-0.94%"
"02/21/2022","13,649.81","13,716.73","13,727.94","13,640.58","","-0.49%"
"02/18/2022","13,716.73","13,766.60","13,790.02","13,716.28","","-0.36%"
"02/17/2022","13,766.60","13,760.26","13,801.52","13,758.03","","0.05%"
"02/16/2022","13,760.26","13,771.96","13,803.01","13,760.26","","-0.05%"
"02/15/2022","13,767.72","13,866.46","13,866.46","13,767.72","","-0.71%"
"02/14/2022","13,866.46","13,950.06","13,957.16","13,852.19","","-0.60%"
"02/11/2022","13,950.06","13,991.47","14,005.52","13,949.69","","-0.30%"
"02/10/2022","13,991.47","13,950.56","13,992.49","13,950.56","","0.29%"
"02/09/2022","13,950.56","13,985.64","13,990.98","13,945.93","","-0.25%"
"02/08/2022","13,985.64","13,951.27","14,012.64","13,939.89","","0.25%"
"02/07/2022","13,951.27","13,949.34","13,955.22","13,918.90","","0.01%"
"02/04/2022","13,949.34","13,913.39","13,965.35","13,905.75","","0.26%"
"02/03/2022","13,913.39","13,905.51","13,913.39","13,859.89","","0.06%"
"02/02/2022","13,905.51","13,863.11","13,907.75","13,862.60","","0.31%"
"02/01/2022","13,863.11","13,883.49","13,896.45","13,850.13","","-0.15%"
"01/31/2022","13,883.49","13,793.21","13,887.85","13,791.29","","0.65%"
"01/28/2022","13,793.21","13,733.86","13,813.99","13,732.46","","0.43%"
"01/27/2022","13,733.86","13,722.28","13,758.13","13,721.07","","0.08%"
"01/26/2022","13,722.28","13,706.62","13,723.61","13,688.43","","0.11%"
"01/25/2022","13,706.62","13,753.50","13,765.73","13,706.62","","-0.34%"
"01/24/2022","13,753.50","13,783.81","13,815.59","13,753.05","","-0.22%"
"01/21/2022","13,783.81","13,777.59","13,812.43","13,769.84","","0.05%"
"01/20/2022","13,777.59","13,737.71","13,814.82","13,734.73","","0.29%"
"01/19/2022","13,737.71","13,768.05","13,817.94","13,734.76","","-0.22%"
"01/18/2022","13,768.05","13,770.78","13,815.37","13,767.98","","-0.02%"
"01/17/2022","13,770.78","13,784.31","13,784.31","13,748.24","","-0.10%"
"01/14/2022","13,784.31","13,588.24","13,784.72","13,551.04","","1.44%"
"01/13/2022","13,588.24","13,531.26","13,588.24","13,506.23","","0.42%"
"01/12/2022","13,531.26","13,486.31","13,532.13","13,481.22","","0.33%"
"01/10/2022","13,486.31","13,477.25","13,503.15","13,441.78","","0.07%"
"01/07/2022","13,477.25","13,368.77","13,477.25","13,335.97","","0.81%"
"01/06/2022","13,368.77","13,290.62","13,369.02","13,290.62","","0.59%"
"01/05/2022","13,290.62","13,278.48","13,306.00","13,269.36","","0.09%"
"01/04/2022","13,278.48","13,296.29","13,328.50","13,278.48","","-0.13%"
"01/03/2022","13,296.29","13,358.32","13,363.06","13,277.80","","-0.46%"
"12/31/2021","13,358.32","13,404.63","13,425.50","13,352.00","","-0.35%"
"12/30/2021","13,404.63","13,389.20","13,405.19","13,340.30","","0.12%"
"12/29/2021","13,389.20","13,281.80","13,389.70","13,280.96","","0.81%"
"12/28/2021","13,281.80","13,236.39","13,290.79","13,211.02","","0.34%"
"12/27/2021","13,236.39","13,242.43","13,242.66","13,198.00","","-0.05%"
"12/24/2021","13,242.43","13,249.96","13,249.96","13,202.98","","-0.06%"
"12/23/2021","13,249.96","13,210.50","13,250.45","13,186.11","","0.30%"
"12/22/2021","13,210.50","13,242.96","13,249.38","13,194.39","","-0.25%"
"12/21/2021","13,242.96","13,253.96","13,253.96","13,163.01","","-0.08%"
"12/20/2021","13,253.96","13,303.36","13,305.50","13,224.67","","-0.37%"
"12/17/2021","13,303.73","13,269.54","13,303.73","13,176.18","","0.26%"
"12/16/2021","13,269.54","13,271.03","13,321.40","13,262.64","","-0.01%"
"12/15/2021","13,271.03","13,281.86","13,285.41","13,257.06","","-0.08%"
"12/14/2021","13,281.86","13,283.98","13,301.10","13,261.32","","-0.02%"
"12/13/2021","13,283.98","13,339.81","13,339.81","13,248.35","","-0.42%"
"12/10/2021","13,339.81","13,277.70","13,350.22","13,277.70","","0.47%"
"12/09/2021","13,277.70","13,231.35","13,277.88","13,223.84","","0.35%"
"12/08/2021","13,231.35","13,228.37","13,268.31","13,185.96","","0.02%"
"12/07/2021","13,228.37","13,178.51","13,239.45","13,144.62","","0.38%"
"12/06/2021","13,178.51","13,226.00","13,244.82","13,158.68","","-0.36%"
"12/03/2021","13,226.00","13,231.41","13,245.28","13,125.43","","-0.04%"
"12/02/2021","13,231.41","13,170.19","13,232.34","13,147.94","","0.46%"
"12/01/2021","13,170.19","13,085.38","13,170.48","13,085.38","","0.65%"
"11/30/2021","13,085.38","13,099.49","13,110.48","13,062.28","","-0.11%"
"11/29/2021","13,099.49","13,221.08","13,221.08","13,041.59","","-0.92%"
"11/26/2021","13,221.08","13,324.53","13,334.83","13,220.71","","-0.78%"
"11/25/2021","13,324.53","13,340.81","13,345.92","13,312.68","","-0.12%"
"11/24/2021","13,340.81","13,306.79","13,340.81","13,287.56","","0.26%"
"11/23/2021","13,306.79","13,351.53","13,351.53","13,304.07","","-0.34%"
"11/22/2021","13,351.53","13,340.45","13,362.45","13,316.95","","0.08%"
"11/19/2021","13,340.45","13,289.48","13,341.79","13,289.48","","0.38%"
"11/17/2021","13,289.48","13,261.47","13,315.65","13,260.89","","0.20%"
"11/16/2021","13,263.07","13,296.37","13,316.23","13,255.00","","-0.25%"
"11/15/2021","13,296.45","13,295.73","13,318.76","13,290.61","","0.01%"
"11/12/2021","13,295.73","13,332.46","13,346.27","13,295.73","","-0.28%"
"11/11/2021","13,332.46","13,344.29","13,356.44","13,322.04","","-0.09%"
"11/10/2021","13,344.29","13,380.34","13,412.49","13,342.39","","-0.27%"
"11/09/2021","13,380.34","13,428.26","13,463.10","13,380.34","","-0.36%"
"11/08/2021","13,428.26","13,413.80","13,475.56","13,396.65","","0.11%"
"11/05/2021","13,413.80","13,506.99","13,521.69","13,413.24","","-0.69%"
"11/04/2021","13,506.99","13,569.33","13,574.85","13,506.99","","-0.46%"
"11/03/2021","13,569.33","13,562.64","13,616.42","13,544.00","","0.05%"
"11/02/2021","13,562.64","13,507.55","13,600.76","13,507.55","","0.41%"
"11/01/2021","13,507.55","13,555.45","13,667.12","13,507.55","","-0.35%"
"10/29/2021","13,555.45","13,579.00","13,650.09","13,510.28","","-0.17%"
"10/28/2021","13,579.00","13,538.42","13,612.75","13,498.60","","0.30%"
"10/27/2021","13,538.42","13,551.17","13,585.21","13,488.35","","-0.09%"
"10/26/2021","13,551.17","13,333.84","13,551.42","13,317.43","","1.63%"
"10/25/2021","13,333.84","13,300.72","13,334.47","13,274.06","","0.25%"
"10/22/2021","13,300.72","13,295.54","13,300.72","13,261.26","","0.04%"
"10/21/2021","13,295.54","13,290.63","13,311.11","13,241.48","","0.04%"
"10/18/2021","13,290.63","13,300.93","13,300.93","13,252.76","","-0.08%"
"10/15/2021","13,300.93","13,283.15","13,301.49","13,240.96","","0.13%"
"10/14/2021","13,283.15","13,187.73","13,283.15","13,187.73","","0.72%"
"10/13/2021","13,187.73","13,160.56","13,188.80","13,142.72","","0.21%"
"10/12/2021","13,160.56","13,145.58","13,165.08","13,145.58","","0.11%"
"10/11/2021","13,145.58","13,192.55","13,192.55","13,136.25","","-0.36%"
"10/08/2021","13,192.55","13,097.39","13,192.55","13,096.20","","0.73%"
"10/07/2021","13,097.39","13,077.78","13,107.23","13,071.79","","0.15%"
"10/06/2021","13,077.78","13,058.71","13,085.33","13,046.16","","0.15%"
"10/05/2021","13,058.71","13,081.74","13,091.11","13,058.71","","-0.18%"
"10/04/2021","13,081.74","13,105.71","13,136.15","13,049.39","","-0.18%"
"10/01/2021","13,105.71","13,186.83","13,186.83","13,085.31","","-0.62%"
"09/30/2021","13,186.83","13,197.28","13,203.02","13,141.87","","-0.08%"
"09/29/2021","13,197.28","13,169.39","13,209.65","13,169.34","","0.21%"
"09/28/2021","13,169.39","13,122.02","13,169.39","13,092.35","","0.36%"
"09/27/2021","13,122.02","13,131.88","13,168.00","13,073.01","","-0.08%"
"09/24/2021","13,131.88","13,078.03","13,170.07","13,055.92","","0.41%"
"09/23/2021","13,078.03","12,973.40","13,080.83","12,971.61","","0.81%"
"09/22/2021","12,973.40","12,940.46","12,973.47","12,931.71","","0.25%"
"09/21/2021","12,940.82","12,949.56","12,949.56","12,917.63","","-0.07%"
"09/20/2021","12,949.56","13,019.20","13,019.20","12,945.52","","-0.53%"
"09/17/2021","13,019.20","12,902.04","13,025.67","12,889.33","","0.91%"
